run_type,split,threshold,samples,image_normalization,roi_buffer_px,avg_dice,avg_iou,avg_precision,avg_recall,num_cases_with_roi,num_cases_without_roi,avg_roi_coverage_ratio,avg_dice_pre_roi,avg_dice_post_roi,delta_dice,avg_iou_pre_roi,avg_iou_post_roi,delta_iou,avg_precision_pre_roi,avg_precision_post_roi,delta_precision,avg_recall_pre_roi,avg_recall_post_roi,delta_recall
raw,val,0.4,114,percentile,,0.6706883626287443,0.5377221571510298,0.6613134485587739,0.7589058329008127,,,,,,,,,,,,,,,
raw,test,0.4,115,percentile,,0.6323291135870892,0.49668160790334576,0.6457885647921459,0.7297662287950516,,,,,,,,,,,,,,,
roi10,val,0.4,114,percentile,10,0.6707906294614077,0.5382886172860468,0.6622633912616915,0.7564079223625493,114,0,0.13631041008129455,0.6706883626287443,0.6707906294614077,0.00010226683266334469,0.5377221571510298,0.5382886172860468,0.000566460135017044,0.6613134485587739,0.6622633912616915,0.0009499427029175944,0.7589058329008127,0.7564079223625493,-0.002497910538263426
roi10,test,0.4,115,percentile,10,0.6352617382355358,0.5000528835084127,0.6516981973596241,0.7292730210915855,115,0,0.1467877263608186,0.6323291135870892,0.6352617382355358,0.002932624648446569,0.49668160790334576,0.5000528835084127,0.003371275605066948,0.6457885647921459,0.6516981973596241,0.005909632567478229,0.7297662287950516,0.7292730210915855,-0.0004932077034660587
