model_id,forecast_horizon_months,signal_variant,lookback_months,n_periods,mean_period_return,period_vol,mean_monthly_return,monthly_vol,annualized_sharpe,equal_weight_mean_period_return,equal_weight_period_vol,equal_weight_mean_monthly_return,equal_weight_monthly_vol,equal_weight_annualized_sharpe,mean_excess_vs_equal_weight,hit_rate_vs_equal_weight,cumulative_log_return,compound_return,max_drawdown,equal_weight_compound_return,equal_weight_max_drawdown,mean_turnover,optimal_solver_rate,mean_n_assets,mean_n_scenarios
always_positive,1,raw,5,71,0.007796334653123059,0.04195976729516078,0.007796334653123059,0.04195976729516078,0.6436474081006828,0.009118994870211505,0.042258299621121764,0.009118994870211505,0.042258299621121764,0.7475247499675433,-0.0013226602170884443,0.4788732394366197,0.5535397603717375,0.7393991897845547,-0.24614189655484509,0.9106598159591603,-0.23597359439863963,0.49041570085044767,1.0,19.0,4.0
always_positive,1,direction,5,71,0.007796334653123059,0.04195976729516078,0.007796334653123059,0.04195976729516078,0.6436474081006828,0.009118994870211505,0.042258299621121764,0.009118994870211505,0.042258299621121764,0.7475247499675433,-0.0013226602170884443,0.4788732394366197,0.5535397603717375,0.7393991897845547,-0.24614189655484509,0.9106598159591603,-0.23597359439863963,0.49041570085044767,1.0,19.0,4.0
always_positive,1,direction_risk_scaled,5,71,0.008085713865520627,0.041226764728179974,0.008085713865520627,0.041226764728179974,0.6794065613871971,0.009118994870211505,0.042258299621121764,0.009118994870211505,0.042258299621121764,0.7475247499675433,-0.001033281004690876,0.5492957746478874,0.5740856844519645,0.7755064114325536,-0.22931161688627055,0.9106598159591603,-0.23597359439863963,0.49865964084280034,1.0,19.0,4.0
always_positive,1,raw,6,70,0.006150412557244661,0.03839758691067068,0.006150412557244661,0.03839758691067068,0.5548696099804626,0.008510652634713947,0.042249249697222414,0.008510652634713947,0.042249249697222414,0.6978056592500194,-0.002360240077469283,0.4,0.4305288790071262,0.5380707618144003,-0.18747033178688532,0.8143833980958324,-0.23597359439863974,0.4547584877242821,1.0,19.0,5.0
always_positive,1,direction,6,70,0.006150412557244661,0.03839758691067068,0.006150412557244661,0.03839758691067068,0.5548696099804626,0.008510652634713947,0.042249249697222414,0.008510652634713947,0.042249249697222414,0.6978056592500194,-0.002360240077469283,0.4,0.4305288790071262,0.5380707618144003,-0.18747033178688532,0.8143833980958324,-0.23597359439863974,0.4547584877242821,1.0,19.0,5.0
always_positive,1,direction_risk_scaled,6,70,0.00542710458220079,0.037579962704968,0.00542710458220079,0.037579962704968,0.5002677063923199,0.008510652634713947,0.042249249697222414,0.008510652634713947,0.042249249697222414,0.6978056592500194,-0.0030835480525131568,0.4142857142857143,0.3798973207540553,0.4621344508634144,-0.21080653001815208,0.8143833980958324,-0.23597359439863974,0.4541151378417259,1.0,19.0,5.0
always_positive,1,raw,7,69,0.006290711456765137,0.040315920799244356,0.006290711456765137,0.040315920799244356,0.5405225351607034,0.008061739177406529,0.04238822975427527,0.008061739177406529,0.04238822975427527,0.6588310921962149,-0.001771027720641392,0.5072463768115942,0.43405909051679453,0.5435100722296571,-0.2766902732112072,0.7441372194014204,-0.23597359439863985,0.41286900031232526,1.0,19.0,6.0
always_positive,1,direction,7,69,0.006290711456765137,0.040315920799244356,0.006290711456765137,0.040315920799244356,0.5405225351607034,0.008061739177406529,0.04238822975427527,0.008061739177406529,0.04238822975427527,0.6588310921962149,-0.001771027720641392,0.5072463768115942,0.43405909051679453,0.5435100722296571,-0.2766902732112072,0.7441372194014204,-0.23597359439863985,0.41286900031232526,1.0,19.0,6.0
always_positive,1,direction_risk_scaled,7,69,0.006506552762077728,0.04062158537315083,0.006506552762077728,0.04062158537315083,0.55486165114053,0.008061739177406529,0.04238822975427527,0.008061739177406529,0.04238822975427527,0.6588310921962149,-0.001555186415328801,0.5217391304347826,0.44895214058336314,0.5666696755084433,-0.2780021108947308,0.7441372194014204,-0.23597359439863985,0.4134161653990114,1.0,19.0,6.0
always_positive,1,raw,8,68,0.006038732181799917,0.04029388631821862,0.006038732181799917,0.04029388631821862,0.5191552321151791,0.00786494846856656,0.042667468384891105,0.00786494846856656,0.042667468384891105,0.6385422366091047,-0.001826216286766641,0.4411764705882353,0.4106337883623944,0.5077730913883292,-0.21278145488082878,0.7071349471835853,-0.23597359439863974,0.3917580029062058,1.0,19.0,7.0
always_positive,1,direction,8,68,0.006038732181799917,0.04029388631821862,0.006038732181799917,0.04029388631821862,0.5191552321151791,0.00786494846856656,0.042667468384891105,0.00786494846856656,0.042667468384891105,0.6385422366091047,-0.001826216286766641,0.4411764705882353,0.4106337883623944,0.5077730913883292,-0.21278145488082878,0.7071349471835853,-0.23597359439863974,0.3917580029062058,1.0,19.0,7.0
always_positive,1,direction_risk_scaled,8,68,0.005843740334823288,0.03999654526242627,0.005843740334823288,0.03999654526242627,0.5061264716611426,0.00786494846856656,0.042667468384891105,0.00786494846856656,0.042667468384891105,0.6385422366091047,-0.0020212081337432704,0.4264705882352941,0.3973743427679835,0.4879128152136021,-0.21278145488082945,0.7071349471835853,-0.23597359439863974,0.39108750161058664,1.0,19.0,7.0
always_positive,1,raw,9,67,0.00597975216276291,0.04168260730912616,0.00597975216276291,0.04168260730912616,0.4969571354192896,0.008476170798838539,0.04268817618457376,0.008476170798838539,0.04268817618457376,0.6878325470613739,-0.0024964186360756277,0.4626865671641791,0.4006433949051151,0.4927848388929308,-0.2637963427553045,0.764563663230339,-0.23597359439863974,0.3524803833225947,1.0,19.0,8.0
always_positive,1,direction,9,67,0.00597975216276291,0.04168260730912616,0.00597975216276291,0.04168260730912616,0.4969571354192896,0.008476170798838539,0.04268817618457376,0.008476170798838539,0.04268817618457376,0.6878325470613739,-0.0024964186360756277,0.4626865671641791,0.4006433949051151,0.4927848388929308,-0.2637963427553045,0.764563663230339,-0.23597359439863974,0.3524803833225947,1.0,19.0,8.0
always_positive,1,direction_risk_scaled,9,67,0.0058379662071721735,0.041562578311355985,0.0058379662071721735,0.041562578311355985,0.486574918810059,0.008476170798838539,0.04268817618457376,0.008476170798838539,0.04268817618457376,0.6878325470613739,-0.0026382045916663664,0.4626865671641791,0.39114373588053564,0.47867103622261875,-0.2637963427553043,0.764563663230339,-0.23597359439863974,0.35296101603593133,1.0,19.0,8.0
always_positive,1,raw,10,66,0.006452519591324563,0.0399950163781692,0.006452519591324563,0.0399950163781692,0.5588742188943344,0.008819760027567186,0.042918307357710204,0.008819760027567186,0.042918307357710204,0.7118767453240249,-0.002367240436242621,0.4696969696969697,0.4258662930274212,0.5309160672954893,-0.22811449241546755,0.7898005012385954,-0.23597359439863974,0.35055140620087566,1.0,19.0,9.0
always_positive,1,direction,10,66,0.006452519591324563,0.0399950163781692,0.006452519591324563,0.0399950163781692,0.5588742188943344,0.008819760027567186,0.042918307357710204,0.008819760027567186,0.042918307357710204,0.7118767453240249,-0.002367240436242621,0.4696969696969697,0.4258662930274212,0.5309160672954893,-0.22811449241546755,0.7898005012385954,-0.23597359439863974,0.35055140620087566,1.0,19.0,9.0
always_positive,1,direction_risk_scaled,10,66,0.006593480656866081,0.03974588588554706,0.006593480656866081,0.03974588588554706,0.5746629238206237,0.008819760027567186,0.042918307357710204,0.008819760027567186,0.042918307357710204,0.7118767453240249,-0.002226279370701102,0.4696969696969697,0.4351697233531613,0.5452252975155887,-0.22811449241546733,0.7898005012385954,-0.23597359439863974,0.3479091948644279,1.0,19.0,9.0
always_positive,1,raw,11,65,0.006662162523470624,0.03970107912735155,0.006662162523470624,0.03970107912735155,0.5813042986523062,0.006677247475537155,0.03958984105764187,0.006677247475537155,0.03958984105764187,0.5842575556442636,-1.5084952066531312e-05,0.5230769230769231,0.4330405640255905,0.5419387666756559,-0.2179672450290122,0.5434514128508179,-0.23597359439863974,0.3219625948861067,1.0,19.0,10.0
always_positive,1,direction,11,65,0.006662162523470624,0.03970107912735155,0.006662162523470624,0.03970107912735155,0.5813042986523062,0.006677247475537155,0.03958984105764187,0.006677247475537155,0.03958984105764187,0.5842575556442636,-1.5084952066531312e-05,0.5230769230769231,0.4330405640255905,0.5419387666756559,-0.2179672450290122,0.5434514128508179,-0.23597359439863974,0.3219625948861067,1.0,19.0,10.0
always_positive,1,direction_risk_scaled,11,65,0.0065979310955813966,0.03961202002366644,0.0065979310955813966,0.03961202002366644,0.5769941485214773,0.006677247475537155,0.03958984105764187,0.006677247475537155,0.03958984105764187,0.5842575556442636,-7.931637995575917e-05,0.5230769230769231,0.42886552121279065,0.5355145263809367,-0.21796724502901232,0.5434514128508179,-0.23597359439863974,0.32025102420236784,1.0,19.0,10.0
