forecast_horizon_months,model_id,rmse_with_gnc,mae_with_gnc,corr_with_gnc,directional_accuracy_with_gnc,strategy_annualized_sharpe_with_gnc,predicted_positive_rate_with_gnc,rmse_no_gnc,mae_no_gnc,corr_no_gnc,directional_accuracy_no_gnc,strategy_annualized_sharpe_no_gnc,predicted_positive_rate_no_gnc,rmse_improvement_from_gnc,mae_improvement_from_gnc,corr_delta_from_gnc,direction_delta_from_gnc,sharpe_delta_from_gnc
1,always_positive,0.9942428250636105,0.9924577268469671,,0.5914759656132704,0.43872826598221626,1.0,0.9942428250636105,0.9924577268469671,,0.5914759656132704,0.43872826598221626,1.0,0.0,0.0,,0.0,0.0
1,distributed_lag,0.0517908511897833,0.03777987042074064,0.717062653870309,0.8286717520280905,2.3413330989413077,0.6531057028695968,0.051813271904834445,0.037840289017323274,0.7125469000055856,0.8337571134519918,2.403839217504675,0.6506841021915486,2.2420715051145457e-05,6.041859658263704e-05,0.00451575386472336,-0.005085361423901258,-0.06250611856336752
1,elastic_net_panel,0.05762806954983362,0.042048575627557865,0.3511114259244884,0.7118295193122655,1.139125494650765,0.6646083060903257,0.057655642242365614,0.042087690914129866,0.3490141385817691,0.7103765589054365,1.1309176410572417,0.6631553456834968,2.757269253199357e-05,3.911528657200153e-05,0.0020972873427193006,0.0014529604068289625,0.008207853593523273
1,historical_mean,0.06019831853552534,0.044652233352449736,-0.03433973915019459,0.5606005569681559,0.11765393944539441,0.666182346531057,0.06019831853552534,0.044652233352449736,-0.03433973915019459,0.5606005569681559,0.11765393944539441,0.666182346531057,0.0,0.0,0.0,0.0,0.0
1,ols_predictive,0.060197811646210186,0.04464983172456968,-0.033777433826092884,0.5591475965613271,0.11505437996474996,0.6656980263954474,0.05518447927664013,0.039787766551989664,0.4710127348322641,0.7361666061266497,1.3963753265268464,0.6625499455139847,-0.005013332369570057,-0.0048620651725800185,-0.5047901686583569,-0.17701900956532268,-1.2813209465620965
1,random_forest_panel,0.053181451629848685,0.03726653985959337,0.606205138476742,0.8405375953505267,2.142341840271381,0.6349436977842354,0.05294995224698147,0.037148387734602925,0.6061583426104269,0.8392057149776002,2.1868608115015693,0.6418452597166727,-0.00023149938286721322,-0.00011815212499044492,4.6795866315063606e-05,0.0013318803729265305,-0.04451897123018833
2,always_positive,0.9881043689531614,0.9845312158090165,,0.611320296368274,0.6382598955655168,1.0,0.9881043689531614,0.9845312158090165,,0.611320296368274,0.6382598955655168,1.0,0.0,0.0,,0.0,0.0
2,distributed_lag,0.07945680388193563,0.05931038383665717,0.41893595810446893,0.6854123648730718,1.3515453095205678,0.6810397182072149,0.07941749753447358,0.05928419427399656,0.41969515701716315,0.6891776995020041,1.3956235526141327,0.6799465565407506,-3.9306347462048086e-05,-2.6189562660608456e-05,-0.0007591989126942145,-0.0037653346289323597,-0.044078243093564895
2,elastic_net_panel,0.08323585642389038,0.06218525887404803,0.17905408691073588,0.624195311551075,0.8020319255193163,0.6863840641321511,0.08327452978072654,0.062232249348058204,0.17608617293600343,0.6215231385886069,0.7908885650144005,0.6868699137616907,3.86733568361608e-05,4.699047401017509e-05,0.00296791397473245,0.0026721729624681334,0.011143360504915822
2,historical_mean,0.0849863230131472,0.06385900946655665,0.022117643088928482,0.5621280213773837,0.32582941733957377,0.679460706911211,0.0849863230131472,0.06385900946655665,0.022117643088928482,0.5621280213773837,0.32582941733957377,0.679460706911211,0.0,0.0,0.0,0.0,0.0
